reaction_id,log2fc,p_value,subsystem,flux_cond1,flux_cond2
DKGLCNR2x,0.3557,0.729,Alternate Carbon Metabolism,0.3937,0.5037
DUTPDP,-0.3381,0.31,Nucleotide Salvage Pathway,5.1337,4.061
ARGtex,-0.1567,0.578,"Transport, Outer Membrane Porin",9.7797,8.7731
DXPRIi,0.1928,0.249,Cofactor and Prosthetic Group Biosynthesis,2.4752,2.829
DXPS,1.4458,0.106,Cofactor and Prosthetic Group Biosynthesis,8.6742,23.6301
DKGLCNR2y,-0.0461,0.799,Alternate Carbon Metabolism,4.2575,4.1237
DMATT,0.0259,0.874,Cofactor and Prosthetic Group Biosynthesis,1.9,1.9344
DMPPS,0.7053,0.3,Cofactor and Prosthetic Group Biosynthesis,5.5407,9.0337
DMQMT,-1.0282,0.111,Cofactor and Prosthetic Group Biosynthesis,8.3223,4.0807
DXYLK,0.7776,0.248,Cofactor and Prosthetic Group Biosynthesis,2.1762,3.7306
E4PD,1.4201,0.0602,Cofactor and Prosthetic Group Biosynthesis,4.4703,11.9623
DMSOR1,-2.2019,2.14e-06,Oxidative Phosphorylation,4.4495,0.9671
ASAD,0.4583,0.645,Threonine and Lysine Metabolism,6.4632,8.8801
DMSOR1pp,-2.627,1.25e-06,Oxidative Phosphorylation,0.5398,0.0874
DMSOR2,-1.6091,2.77e-05,Oxidative Phosphorylation,2.7091,0.888
EAR100x,-0.8183,0.135,Cell Envelope Biosynthesis,5.4062,3.0659
EAR100y,-0.9794,0.111,Cell Envelope Biosynthesis,4.1612,2.1106
EAR120x,-1.0013,0.118,Cell Envelope Biosynthesis,7.4821,3.7376
DMSOR2pp,-2.1249,1e-06,Oxidative Phosphorylation,7.6893,1.7629
EAR120y,-0.2269,0.521,Cell Envelope Biosynthesis,4.5908,3.9227
DMSOtex,0.3818,0.403,"Transport, Outer Membrane Porin",5.3416,6.9597
ASCBPL,-0.3372,0.489,Alternate Carbon Metabolism,1.843,1.4588
DMSOtpp,0.4052,0.328,"Transport, Inner Membrane",6.0718,8.0409
DMStex,0.0745,0.482,"Transport, Outer Membrane Porin",2.3734,2.4992
EAR121x,-0.5782,0.212,Cell Envelope Biosynthesis,6.6233,4.4363
EAR121y,-1.726,0.0202,Cell Envelope Biosynthesis,4.7373,1.432
EAR140x,-0.6578,0.105,Cell Envelope Biosynthesis,3.681,2.3331
FCLK,-0.261,0.27,Alternate Carbon Metabolism,5.3723,4.4834
EAR140y,-0.5013,0.288,Cell Envelope Biosynthesis,5.4521,3.8518
EAR141x,-0.2567,0.255,Cell Envelope Biosynthesis,1.0494,0.8783
EAR141y,-0.4839,0.205,Cell Envelope Biosynthesis,1.6492,1.1792
EAR160x,-1.2262,0.0562,Cell Envelope Biosynthesis,5.6278,2.4056
EAR160y,-0.0821,0.757,Cell Envelope Biosynthesis,7.0245,6.6359
EAR161x,-0.6785,0.218,Cell Envelope Biosynthesis,2.5773,1.6103
EAR161y,-0.1202,0.502,Cell Envelope Biosynthesis,4.3574,4.0091
EAR180x,0.2627,0.224,Cell Envelope Biosynthesis,2.395,2.8733
EAR180y,-0.0812,0.739,Cell Envelope Biosynthesis,3.5714,3.3759
EAR181x,-1.0249,0.0553,Cell Envelope Biosynthesis,8.3837,4.12
EAR181y,-0.7028,0.137,Cell Envelope Biosynthesis,8.875,5.4525
ECOAH5,-0.2966,0.194,Membrane Lipid Metabolism,0.8166,0.6648
ECOAH6,0.1787,0.42,Membrane Lipid Metabolism,6.6614,7.54
ECOAH7,0.5057,0.117,Membrane Lipid Metabolism,10.9444,15.5386
ECOAH8,-0.427,0.252,Membrane Lipid Metabolism,4.1108,3.0577
EDA,0.1839,0.493,Pentose Phosphate Pathway,8.4193,9.5642
EDD,0.4033,0.165,Pentose Phosphate Pathway,7.4454,9.8465
EDTXS1,0.1537,0.756,Lipopolysaccharide Biosynthesis / Recycling,0.9709,1.08
EDTXS2,0.3375,0.491,Lipopolysaccharide Biosynthesis / Recycling,1.9866,2.5101
EDTXS3,0.4054,0.406,Lipopolysaccharide Biosynthesis / Recycling,11.5678,15.3206
EDTXS4,0.498,0.382,Lipopolysaccharide Biosynthesis / Recycling,6.0623,8.5616
EAR40x,0.5268,0.176,Cell Envelope Biosynthesis,3.5116,5.0591
EAR40y,0.2888,0.317,Cell Envelope Biosynthesis,3.7279,4.5542
EAR60x,0.2864,0.237,Cell Envelope Biosynthesis,2.9013,3.5383
EAR60y,-0.1506,0.352,Cell Envelope Biosynthesis,5.3069,4.7808
EGMEACPR,1.215,0.169,Cofactor and Prosthetic Group Biosynthesis,0.3435,0.7973
FCLPA,-1.0174,0.433,Alternate Carbon Metabolism,2.8903,1.4278
ENLIPAabctex,0.354,0.459,Lipopolysaccharide Biosynthesis / Recycling,4.7808,6.1103
ENO,1.9796,1.5e-06,Glycolysis/Gluconeogenesis,10.2055,40.2497
EAR80x,-0.3656,0.297,Cell Envelope Biosynthesis,4.2187,3.2743
EAR80y,0.2815,0.346,Cell Envelope Biosynthesis,7.8091,9.4916
ECA4COLIPAabctex,-0.1908,0.311,Lipopolysaccharide Biosynthesis / Recycling,4.9673,4.3519
ENTCS,0.4882,0.249,Cofactor and Prosthetic Group Biosynthesis,6.9874,9.8014
ENTERES,0.0511,0.856,Inorganic Ion Transport and Metabolism,8.6454,8.957
ENTERES2,-0.3388,0.338,Inorganic Ion Transport and Metabolism,4.0649,3.2142
EPMEACPR,0.2561,0.586,Cofactor and Prosthetic Group Biosynthesis,0.4138,0.4942
ECA4OALpp,-0.7537,0.196,Lipopolysaccharide Biosynthesis / Recycling,8.5647,5.0796
ECAP1pp,0.0069,0.53,Lipopolysaccharide Biosynthesis / Recycling,9.3034,9.3477
ECAP2pp,0.8661,0.487,Lipopolysaccharide Biosynthesis / Recycling,6.9806,12.7237
ECAP3pp,-0.9074,0.389,Lipopolysaccharide Biosynthesis / Recycling,6.8672,3.6612
ECAtpp,-0.9026,0.282,Lipopolysaccharide Biosynthesis / Recycling,8.865,4.7422
ETHAAL,-0.8739,0.143,Cell Envelope Biosynthesis,3.1562,1.7223
ETHAt2pp,0.4158,0.257,"Transport, Inner Membrane",2.8001,3.7354
ECOAH1,0.8076,0.0537,Membrane Lipid Metabolism,2.2645,3.9637
FCLT,-0.4238,0.23,Cofactor and Prosthetic Group Biosynthesis,7.5558,5.6324
ECOAH2,0.4638,0.229,Membrane Lipid Metabolism,9.3172,12.8504
ECOAH3,0.5517,0.172,Membrane Lipid Metabolism,3.4111,5.0
ETHAtex,0.3805,0.473,"Transport, Outer Membrane Porin",6.0712,7.9037
ETHSO3abcpp,1.2645,0.0697,"Transport, Inner Membrane",3.7816,9.085
ETHSO3tex,0.4181,0.419,"Transport, Outer Membrane Porin",5.2271,6.9845
ECOAH4,-0.0785,0.608,Membrane Lipid Metabolism,1.8751,1.7759
ETOHtex,-0.3285,0.402,"Transport, Outer Membrane Porin",2.1546,1.7159
FDH4pp,-2.3724,1.82e-06,Oxidative Phosphorylation,6.4571,1.247
ETOHtrpp,0.1619,0.643,"Transport, Inner Membrane",5.1643,5.7775
F6PA,2.125,1.5e-06,Glycolysis/Gluconeogenesis,3.3767,14.7289
F6PP,-0.1268,0.699,Alternate Carbon Metabolism,4.8044,4.4003
FHL,0.8836,0.00196,Pyruvate Metabolism,4.3242,7.9778
FLDR2,-0.1399,0.722,Unassigned,7.3637,6.683
F6Pt6_2pp,0.4186,0.362,"Transport, Inner Membrane",6.0173,8.0429
FLVR,0.164,0.647,Cofactor and Prosthetic Group Biosynthesis,3.9197,4.3917
FDH5pp,-1.9195,2.92e-06,Oxidative Phosphorylation,4.6767,1.2362
FLVRx,0.1055,0.456,Cofactor and Prosthetic Group Biosynthesis,4.0734,4.3825
FMETTRS,-0.3108,0.597,tRNA Charging,8.2501,6.6511
FMNAT,1.0748,0.15,Cofactor and Prosthetic Group Biosynthesis,2.3756,5.0042
FMNRx,0.656,0.244,Cofactor and Prosthetic Group Biosynthesis,6.8702,10.8251
F6Ptex,0.5247,0.246,"Transport, Outer Membrane Porin",5.8426,8.4056
FA100ACPHi,-0.6097,0.267,Cell Envelope Biosynthesis,3.167,2.0754
FA120ACPHi,-1.8989,0.0162,Cell Envelope Biosynthesis,7.5418,2.0223
FA140ACPHi,0.442,0.248,Cell Envelope Biosynthesis,7.5885,10.309
FA141ACPHi,0.1015,0.618,Cell Envelope Biosynthesis,6.5667,7.0451
FA160ACPHi,-1.3196,0.0504,Cell Envelope Biosynthesis,8.7622,3.5106
FA161ACPHi,-0.5883,0.271,Cell Envelope Biosynthesis,8.1365,5.4117
FMNRx2,-0.0334,0.546,Cofactor and Prosthetic Group Biosynthesis,4.0206,3.9285
FOMETRi,0.1723,0.594,Folate Metabolism,7.183,8.0942
FORCT,-0.2663,0.553,Alternate Carbon Metabolism,13.1226,10.911
FDMO,-0.4679,0.177,Inorganic Ion Transport and Metabolism,4.2487,3.0719
FORt2pp,0.0298,0.655,"Transport, Inner Membrane",1.6519,1.6864
FORtex,0.8659,0.176,"Transport, Outer Membrane Porin",6.9252,12.6206
FORtppi,0.0569,0.796,"Transport, Inner Membrane",7.8831,8.2001
FRD2,-1.3723,0.000139,Citric Acid Cycle,6.564,2.5356
FRD3,-1.4606,0.000105,Citric Acid Cycle,7.2856,2.6472
FRUK,-0.5002,0.341,Alternate Carbon Metabolism,4.4662,3.1577
FRULYSDG,-0.3133,0.43,Alternate Carbon Metabolism,7.888,6.3482
FRULYSE,-0.7654,0.456,Alternate Carbon Metabolism,4.8586,2.8583
FA80ACPHi,-0.2441,0.202,Cell Envelope Biosynthesis,3.1426,2.6534
FDMO2,-0.2881,0.253,Inorganic Ion Transport and Metabolism,5.3168,4.3545
FRULYSK,-0.5842,0.463,Alternate Carbon Metabolism,5.2713,3.516
FRULYSt2pp,0.0247,0.33,"Transport, Inner Membrane",7.642,7.7737
FRULYStex,0.7258,0.117,"Transport, Outer Membrane Porin",7.7924,12.8871
FRUURt2rpp,0.5869,0.341,"Transport, Inner Membrane",4.7085,7.0722
FRUURtex,0.5195,0.246,"Transport, Outer Membrane Porin",1.9975,2.8632
FACOAE100,-0.895,0.0742,Cell Envelope Biosynthesis,5.596,3.0092
FACOAE120,-0.7424,0.177,Cell Envelope Biosynthesis,7.2306,4.3222
FACOAE140,-1.091,0.0977,Cell Envelope Biosynthesis,0.2627,0.1233
FRUpts2pp,0.16,0.416,"Transport, Inner Membrane",8.7569,9.7841
FRUptspp,0.9952,0.0631,"Transport, Inner Membrane",9.0987,18.1375
FRUtex,0.0275,0.884,"Transport, Outer Membrane Porin",10.9327,11.1432
FTHFD,-1.1179,0.339,Folate Metabolism,8.3807,3.8615
FTHFLi,0.5014,0.567,Folate Metabolism,2.7657,3.9152
FUCtex,0.3456,0.518,"Transport, Outer Membrane Porin",0.9958,1.2653
FUCtpp,0.4403,0.188,"Transport, Inner Membrane",8.3509,11.3316
FUM,-1.2747,0.000283,Citric Acid Cycle,5.4636,2.2582
FUMt2_2pp,0.9346,0.139,"Transport, Inner Membrane",2.9785,5.6929
FUMt2_3pp,0.5859,0.139,"Transport, Inner Membrane",0.1393,0.2091
FACOAE141,0.7053,0.0969,Cell Envelope Biosynthesis,8.5036,13.8649
FACOAE160,-0.8217,0.104,Cell Envelope Biosynthesis,9.3382,5.2834
FACOAE161,-0.5371,0.192,Cell Envelope Biosynthesis,3.9292,2.7078
FACOAE180,-0.0844,0.376,Cell Envelope Biosynthesis,9.4433,8.9064
FACOAE181,0.3267,0.437,Cell Envelope Biosynthesis,4.6427,5.8227
FUMtex,-0.3109,0.506,"Transport, Outer Membrane Porin",11.9983,9.6723
FUSAtex,1.0821,0.129,"Transport, Outer Membrane Porin",3.5744,7.5676
FDMO3,-0.3491,0.237,Inorganic Ion Transport and Metabolism,7.692,6.0387
FUSAtpp,0.4223,0.437,"Transport, Outer Membrane",7.1094,9.5268
G1PACT,-0.2206,0.541,Cell Envelope Biosynthesis,3.8799,3.3298
G1PPpp,1.2733,0.000201,Glycolysis/Gluconeogenesis,4.3315,10.4696
FACOAE60,0.3719,0.403,Cell Envelope Biosynthesis,7.9085,10.2341
FACOAE80,0.8343,0.107,Cell Envelope Biosynthesis,8.5914,15.3184
FACOAL100t2pp,-0.4621,0.145,Cell Envelope Biosynthesis,7.0253,5.0998
FACOAL120t2pp,-0.2753,0.421,Cell Envelope Biosynthesis,0.1802,0.1489
FACOAL140t2pp,0.5912,0.201,Cell Envelope Biosynthesis,7.3027,11.0016
G1PTT,-0.0755,0.382,Cell Envelope Biosynthesis,0.335,0.3179
G1Ptex,-0.307,0.471,"Transport, Outer Membrane Porin",3.6358,2.9389
G1SAT,-0.1621,0.73,Cofactor and Prosthetic Group Biosynthesis,3.0887,2.7605
FACOAL141t2pp,0.532,0.242,Cell Envelope Biosynthesis,13.4095,19.3895
FDMO4,0.514,0.325,Inorganic Ion Transport and Metabolism,6.4366,9.1912
FACOAL160t2pp,-0.163,0.328,Cell Envelope Biosynthesis,7.1208,6.3602
FACOAL161t2pp,0.1938,0.33,Cell Envelope Biosynthesis,1.2496,1.4293
FACOAL180t2pp,-0.3547,0.393,Cell Envelope Biosynthesis,12.0503,9.4235
FACOAL181t2pp,-0.3318,0.387,Cell Envelope Biosynthesis,5.5372,4.3996
FACOAL60t2pp,0.1444,0.474,Cell Envelope Biosynthesis,8.3387,9.2166
FACOAL80t2pp,0.2259,0.537,Cell Envelope Biosynthesis,4.4678,5.2251
G2PP,0.2186,0.374,Alternate Carbon Metabolism,3.8042,4.4267
G2PPpp,-1.2026,0.39,Alternate Carbon Metabolism,0.7664,0.333
G3PAT120,-0.7151,0.259,Glycerophospholipid Metabolism,3.8651,2.3545
G3PAT140,0.043,0.759,Glycerophospholipid Metabolism,8.018,8.2608
G3PAT141,0.6239,0.47,Glycerophospholipid Metabolism,7.0854,10.9186
G3PAT160,-0.0428,0.338,Glycerophospholipid Metabolism,8.0663,7.8306
G3PAT161,1.2825,0.361,Glycerophospholipid Metabolism,3.5431,8.6192
G3PAT180,0.0933,0.558,Glycerophospholipid Metabolism,7.792,8.3128
FADRx,-0.4595,0.218,Cofactor and Prosthetic Group Biosynthesis,0.6788,0.4937
FDMO6,0.0403,0.413,Inorganic Ion Transport and Metabolism,2.3761,2.4435
FADRx2,0.1168,0.347,Cofactor and Prosthetic Group Biosynthesis,4.5006,4.8802
FALDH2,0.5393,0.438,Cofactor and Prosthetic Group Biosynthesis,8.0828,11.7469
FALDtex,-0.1252,0.358,"Transport, Outer Membrane Porin",6.0126,5.5128
FALDtpp,0.7123,0.2,"Transport, Inner Membrane",4.7083,7.7141
FALGTHLs,-0.395,0.436,Cofactor and Prosthetic Group Biosynthesis,5.9202,4.5024
G3PAT181,0.0621,0.555,Glycerophospholipid Metabolism,3.0306,3.1639
G3PCabcpp,1.3476,0.0823,"Transport, Inner Membrane",1.3273,3.3778
G3PCtex,-0.1512,0.313,"Transport, Outer Membrane Porin",4.293,3.8659
G3PD2,-0.8521,0.501,Alternate Carbon Metabolism,3.5802,1.9834
G3PD5,-2.1954,1.26e-06,Oxidative Phosphorylation,8.936,1.951
G3PD6,-2.6607,2.29e-06,Oxidative Phosphorylation,7.1957,1.138
FBA,2.4595,2.35e-06,Glycolysis/Gluconeogenesis,10.5835,58.2107
FBA3,0.3241,0.211,Pentose Phosphate Pathway,7.3204,9.1643
G3PD7,-2.477,1.98e-06,Oxidative Phosphorylation,6.7035,1.204
FE2abcpp,0.3984,0.369,Inorganic Ion Transport and Metabolism,4.1008,5.4049
FBP,2.0789,2.21e-06,Glycolysis/Gluconeogenesis,2.5493,10.7705
G3PEabcpp,-0.1501,0.436,"Transport, Inner Membrane",4.9767,4.4849
FE2t2pp,0.7183,0.147,Inorganic Ion Transport and Metabolism,5.7922,9.5297
G3PEtex,0.473,0.348,"Transport, Outer Membrane Porin",3.132,4.3471
G3PGabcpp,0.0874,0.425,"Transport, Inner Membrane",6.2757,6.6677
G3PGtex,0.4542,0.279,"Transport, Outer Membrane Porin",11.3113,15.4966
G3PIabcpp,0.5029,0.36,"Transport, Inner Membrane",7.0453,9.9839
G3PItex,0.9128,0.114,"Transport, Outer Membrane Porin",10.2216,19.2437
FCI,0.0111,0.683,Alternate Carbon Metabolism,5.0984,5.1379
G3PSabcpp,1.0722,0.0669,"Transport, Inner Membrane",11.4169,24.0051
FE2t3pp,0.2075,0.513,Inorganic Ion Transport and Metabolism,2.2463,2.5938
G3PStex,0.2347,0.224,"Transport, Outer Membrane Porin",1.8588,2.1871
G3PT,0.2711,0.741,Alternate Carbon Metabolism,1.4355,1.7323
GGPTRCS,-0.8831,0.301,Alternate Carbon Metabolism,10.6041,5.7494
GHBDHx,-0.5056,0.452,Arginine and Proline Metabolism,10.0878,7.1055
GHMT2r,0.5935,0.469,Glycine and Serine Metabolism,4.2767,6.4531
G5SADs,-0.5077,0.354,Arginine and Proline Metabolism,4.2294,2.9748
FE2tex,0.6137,0.325,"Transport, Outer Membrane Porin",7.6948,11.7748
G5SD,0.2966,0.279,Arginine and Proline Metabolism,2.7705,3.4029
G6PDA,0.8422,0.187,Alternate Carbon Metabolism,7.2941,13.0771
GK1,-1.2918,0.0133,Nucleotide Salvage Pathway,10.8442,4.4293
GLBRAN2,2.5682,1.7e-06,Glycolysis/Gluconeogenesis,3.3277,19.7354
GLCATr,0.234,0.75,Alternate Carbon Metabolism,10.6853,12.5665
G6PDH2r,0.8198,0.0552,Pentose Phosphate Pathway,7.2191,12.7426
FE2tpp,-0.1522,0.286,Inorganic Ion Transport and Metabolism,7.3546,6.618
G6PP,1.9721,3.12e-06,Glycolysis/Gluconeogenesis,6.0293,23.6552
G6Pt6_2pp,0.4859,0.392,"Transport, Inner Membrane",4.2189,5.9084
G6Ptex,-0.2717,0.548,"Transport, Outer Membrane Porin",4.9526,4.1026
GAL1PPpp,0.6242,0.425,Alternate Carbon Metabolism,0.8464,1.3046
GLCDpp,-1.7328,6.08e-06,Oxidative Phosphorylation,3.3597,1.0108
FE3DCITabcpp,0.0564,0.645,Inorganic Ion Transport and Metabolism,7.1693,7.4554
GLCNt2rpp,-0.2295,0.434,"Transport, Inner Membrane",3.5022,2.9872
GAL1Ptex,-0.2523,0.377,"Transport, Outer Membrane Porin",6.2261,5.2272
GALBDtex,0.3882,0.371,"Transport, Outer Membrane Porin",11.7188,15.3375
GALCTD,0.1471,0.538,Alternate Carbon Metabolism,4.6503,5.1494
GALCTLO,-0.7677,0.527,Alternate Carbon Metabolism,5.3736,3.1562
GALCTND,-0.3975,0.281,Alternate Carbon Metabolism,3.0505,2.316
GLCNtex,-0.4272,0.205,"Transport, Outer Membrane Porin",5.5668,4.14
GLCP,1.8509,4.99e-06,Glycolysis/Gluconeogenesis,6.0038,21.6573
GLCP2,1.465,5.83e-05,Glycolysis/Gluconeogenesis,6.6842,18.4523
GALCTNLt2pp,0.476,0.244,"Transport, Inner Membrane",1.2984,1.8059
FE3DCITtonex,0.6898,0.222,"Transport, Outer Membrane",0.9782,1.5779
GALCTNLtex,0.928,0.187,"Transport, Outer Membrane Porin",1.9749,3.7576
GALCTNt2pp,-0.4282,0.195,"Transport, Inner Membrane",0.2867,0.213
GALCTNtex,-0.6375,0.176,"Transport, Outer Membrane Porin",0.4145,0.2664
GALCTt2rpp,1.2178,0.0926,"Transport, Inner Membrane",4.4973,10.4603
GLCRAL,0.7225,0.355,Alternate Carbon Metabolism,2.8797,4.7518
GLCRD,1.3271,0.233,Alternate Carbon Metabolism,4.9091,12.3166
GLCRt2rpp,1.0384,0.125,"Transport, Inner Membrane",6.0083,12.3412
GALCTtex,0.1821,0.268,"Transport, Outer Membrane Porin",5.5072,6.2483
FE3DHBZR,0.2255,0.379,Inorganic Ion Transport and Metabolism,2.4642,2.8811
GALKr,0.233,0.779,Alternate Carbon Metabolism,2.3596,2.7731
GALM2pp,-0.1755,0.51,Alternate Carbon Metabolism,6.4729,5.7314
GALS3,0.0811,0.352,Alternate Carbon Metabolism,4.9342,5.2195
GLCRtex,0.6665,0.16,"Transport, Outer Membrane Porin",6.9887,11.0927
GLCS1,2.0991,3.6e-06,Glycolysis/Gluconeogenesis,1.8057,7.7363
GLCTR1,-0.805,0.441,Lipopolysaccharide Biosynthesis / Recycling,7.4565,4.2677
GLCTR2,-0.3776,0.425,Lipopolysaccharide Biosynthesis / Recycling,2.3925,1.8415
GALT1,0.5159,0.616,Lipopolysaccharide Biosynthesis / Recycling,9.4962,13.5782
FE3DHBZSabcpp,0.7488,0.23,Inorganic Ion Transport and Metabolism,9.4906,15.9474
GALTptspp,0.0129,0.893,"Transport, Inner Membrane",2.1726,2.1921
GLCTR3,-0.2387,0.482,Lipopolysaccharide Biosynthesis / Recycling,7.7974,6.6082
FE3DHBZStonex,0.0377,0.352,"Transport, Outer Membrane",7.2716,7.4639
GLCUR1Ptex,-0.0776,0.696,"Transport, Outer Membrane Porin",1.1006,1.0429
GALTtex,-0.4121,0.428,"Transport, Outer Membrane Porin",1.6638,1.2504
GLCURt2rpp,0.3129,0.418,"Transport, Inner Membrane",7.393,9.1834
GLCURtex,-0.1373,0.624,"Transport, Outer Membrane Porin",8.8183,8.0179
GLCabcpp,0.0747,0.569,"Transport, Inner Membrane",9.2355,9.7265
GALURt2rpp,0.304,0.274,"Transport, Inner Membrane",3.5099,4.3333
GALURtex,0.3509,0.407,"Transport, Outer Membrane Porin",6.1947,7.9006
GALUi,-1.2351,0.0702,Cell Envelope Biosynthesis,8.1946,3.4813
GLCptspp,0.8704,0.132,"Transport, Inner Membrane",6.7831,12.4005
FE3HOXR1,-0.2506,0.316,Inorganic Ion Transport and Metabolism,3.9415,3.3131
GLCt2pp,0.283,0.58,"Transport, Inner Membrane",4.1927,5.1012
GALabcpp,0.8552,0.193,"Transport, Inner Membrane",3.1611,5.7185
FE3HOXR2,0.2127,0.289,Inorganic Ion Transport and Metabolism,2.8228,3.2713
GLCtex_copy1,-0.2126,0.582,"Transport, Outer Membrane Porin",1.3529,1.1676
FE3HOXR3,-0.3171,0.472,Inorganic Ion Transport and Metabolism,3.1512,2.5294
GLCtex_copy2,0.0132,0.571,"Transport, Outer Membrane",1.8167,1.8334
GLDBRAN2,1.1246,0.000529,Glycolysis/Gluconeogenesis,5.5701,12.1449
FE3HOXUtex,0.7012,0.159,Inorganic Ion Transport and Metabolism,3.9932,6.4926
GLGC,1.9278,2.86e-06,Glycolysis/Gluconeogenesis,5.5093,20.9623
FE3HOXUtpp,0.1671,0.545,Inorganic Ion Transport and Metabolism,1.3665,1.5343
GLNS,0.175,0.315,Glutamate Metabolism,3.2103,3.6244
FE3HOXabcpp,0.6466,0.178,Inorganic Ion Transport and Metabolism,4.7085,7.3713
GLNTRS,-0.198,0.286,tRNA Charging,3.2977,2.8748
FE3HOXexs,0.2845,0.553,Inorganic Ion Transport and Metabolism,3.5271,4.2959
GLNabcpp,0.3767,0.221,"Transport, Inner Membrane",7.3348,9.5234
GLNtex,-0.4521,0.328,"Transport, Outer Membrane Porin",0.5212,0.381
GLTPD,-0.6761,0.526,Alternate Carbon Metabolism,9.7038,6.0732
GLU5K,-0.2014,0.71,Arginine and Proline Metabolism,5.1718,4.4979
GLUABUTt7pp,0.1979,0.37,"Transport, Inner Membrane",6.1339,7.0355
GALt2pp,0.0914,0.308,"Transport, Inner Membrane",4.5924,4.8929
GALtex,0.3125,0.324,"Transport, Outer Membrane Porin",2.4815,3.0817
GAM6Pt6_2pp,0.073,0.735,"Transport, Inner Membrane",1.5762,1.658
GAMAN6Ptex,1.5026,0.049,"Transport, Outer Membrane Porin",5.105,14.4647
GAMptspp,0.034,0.788,"Transport, Inner Membrane",4.3524,4.4563
GAMtex,0.1744,0.428,"Transport, Outer Membrane Porin",7.1016,8.0141
GAPD,2.2225,2.58e-06,Glycolysis/Gluconeogenesis,4.6315,21.6157
GLUCYS,-0.3538,0.232,Cofactor and Prosthetic Group Biosynthesis,1.6646,1.3026
GLUDC,-0.9713,0.178,Glutamate Metabolism,1.7454,0.8902
GLUDy,-0.426,0.448,Glutamate Metabolism,4.8404,3.6029
GLUN,0.3093,0.726,Glutamate Metabolism,2.7302,3.383
GLUNpp,0.0373,0.766,Glutamate Metabolism,3.0632,3.1436
GLUPRT,-0.3991,0.454,Purine and Pyrimidine Biosynthesis,6.7776,5.1397
GLUR,0.5682,0.206,Cell Envelope Biosynthesis,5.0168,7.4384
GARFT,0.4711,0.235,Purine and Pyrimidine Biosynthesis,6.2828,8.7087
FE3HOXtonex,-0.1918,0.308,"Transport, Outer Membrane",8.573,7.5057
GART,-0.181,0.631,Purine and Pyrimidine Biosynthesis,5.0263,4.4337
GLUSy,0.161,0.639,Glutamate Metabolism,7.0798,7.9158
GLUTRR,-0.3089,0.433,Cofactor and Prosthetic Group Biosynthesis,6.9776,5.6327
GLUTRS,0.4089,0.323,Cofactor and Prosthetic Group Biosynthesis,5.3451,7.0965
GLUabcpp,-0.0036,0.678,"Transport, Inner Membrane",5.391,5.3775
GBBTNtex,-0.1404,0.287,"Transport, Outer Membrane Porin",4.8517,4.4019
GCALDD,0.6614,0.286,Folate Metabolism,1.248,1.9738
GDMANE,-0.4658,0.158,Cell Envelope Biosynthesis,11.5419,8.3574
GLUt2rpp,0.197,0.497,"Transport, Inner Membrane",3.236,3.7094
FE3Ri,0.4894,0.385,Cofactor and Prosthetic Group Biosynthesis,0.2127,0.2986
GLUt4pp,-0.444,0.301,"Transport, Inner Membrane",5.2307,3.8452
GLUtex,0.6551,0.256,"Transport, Outer Membrane Porin",1.6455,2.5911
GDPDPK,-0.2336,0.427,Cofactor and Prosthetic Group Biosynthesis,14.2239,12.0976
GDPMNH,-0.5919,0.207,Cell Envelope Biosynthesis,7.7606,5.1489
GLXCL,1.6693,0.000263,Glyoxylate Metabolism,7.7545,24.6636
FE3abcpp,0.1984,0.612,Inorganic Ion Transport and Metabolism,6.6247,7.6014
GLYALDtex,0.1662,0.291,"Transport, Outer Membrane Porin",3.5915,4.03
GDPMNP,0.0364,0.436,Cell Envelope Biosynthesis,3.3164,3.4011
GDPTPDP,-0.2061,0.696,Cofactor and Prosthetic Group Biosynthesis,5.1193,4.4378
GLYALDtpp,0.7819,0.235,"Transport, Inner Membrane",6.3794,10.9684
GDPtex,0.6301,0.29,"Transport, Outer Membrane Porin",8.9681,13.8797
FE3tex,0.4864,0.363,"Transport, Outer Membrane Porin",8.585,12.0272
GF6PTA,-0.4552,0.267,Cell Envelope Biosynthesis,7.7348,5.642
GGGABADr,-0.7544,0.545,Alternate Carbon Metabolism,6.6792,3.9594
GGGABAH,-0.8513,0.296,Alternate Carbon Metabolism,0.1978,0.1096
GGPTRCO,0.6829,0.266,Alternate Carbon Metabolism,8.847,14.2026
GLYAT,0.738,0.565,Glycine and Serine Metabolism,0.8247,1.3755
GLYBabcpp,0.0059,0.868,"Transport, Inner Membrane",2.1805,2.1894
GLYBt2pp,-0.6273,0.146,"Transport, Inner Membrane",7.2364,4.6849
GLYBtex,-0.2354,0.255,"Transport, Outer Membrane Porin",1.2755,1.0835
GLYC2Pabcpp,-0.1948,0.231,"Transport, Inner Membrane",6.479,5.6606
GLYC2Ptex,-0.4208,0.443,"Transport, Outer Membrane Porin",12.3742,9.2434
GLYC3Pabcpp,0.2238,0.448,"Transport, Inner Membrane",7.4085,8.6516
FECRMR1,-0.1127,0.53,Inorganic Ion Transport and Metabolism,2.1606,1.9983
GLYC3Pt6pp,0.2036,0.537,"Transport, Inner Membrane",2.0857,2.4018
GLYC3Ptex,0.6062,0.207,"Transport, Outer Membrane Porin",1.0424,1.5868
GTPDPDP,1.175,0.172,Cofactor and Prosthetic Group Biosynthesis,0.6364,1.4369
GLYCAt2rpp,-0.4352,0.294,"Transport, Inner Membrane",4.5324,3.3523
